datetime,open,high,low,close,volume
2020-02-18 05:30:00,491.55,505.75,486.3,502.15,1809725
2020-02-19 05:30:00,502.0,523.0,501.35,516.75,1547819
2020-02-20 05:30:00,542.0,597.05,542.0,565.0,26621595
2020-02-24 05:30:00,554.9,609.65,548.3,592.2,16452997
2020-02-25 05:30:00,592.2,602.0,578.6,590.25,6316124
2020-02-26 05:30:00,586.95,593.6,581.8,588.15,2156219
2020-02-27 05:30:00,590.0,607.6,586.15,597.65,3245996
2020-02-28 05:30:00,591.75,595.75,570.6,577.3,4532180
2020-03-02 05:30:00,589.0,596.7,570.35,573.95,2742411
2020-03-03 05:30:00,575.1,594.15,575.1,591.4,2342889
2020-03-04 05:30:00,581.95,611.9,581.45,590.95,5590702
2020-03-05 05:30:00,597.8,610.55,590.55,605.2,2950492
2020-03-06 05:30:00,559.75,559.75,477.0,520.8,14305858
2020-03-09 05:30:00,480.0,507.5,475.25,500.2,5239734
2020-03-11 05:30:00,499.95,518.75,495.0,501.7,3169499
2020-03-12 05:30:00,485.0,487.5,440.1,444.35,1635846
2020-03-13 05:30:00,399.95,457.6,355.5,429.9,2788845
2020-03-16 05:30:00,401.0,423.4,390.3,401.15,1353701
2020-03-17 05:30:00,398.0,415.5,372.55,376.05,1052586
2020-03-18 05:30:00,380.3,382.45,350.25,357.35,2851414
2020-03-19 05:30:00,339.0,398.85,318.65,378.1,2769455
2020-03-20 05:30:00,374.3,414.0,369.0,407.75,1588783
2020-03-23 05:30:00,367.0,382.65,276.35,288.55,1152843
2020-03-24 05:30:00,317.4,326.0,278.65,303.2,1822240
2020-03-25 05:30:00,300.25,377.45,292.95,351.95,1704880
2020-03-26 05:30:00,352.3,439.9,345.1,423.2,2433318
2020-03-27 05:30:00,439.2,475.9,392.35,408.45,2360493
2020-03-30 05:30:00,385.2,411.6,385.2,397.85,1065922
2020-03-31 05:30:00,407.95,413.65,379.65,384.6,1706240
2020-04-01 05:30:00,380.0,401.9,375.3,382.4,936704
2020-04-03 05:30:00,373.0,375.0,326.65,333.85,2323689
2020-04-07 05:30:00,335.0,367.2,328.1,360.2,2791277
2020-04-08 05:30:00,354.9,396.0,351.5,355.2,1541128
2020-04-09 05:30:00,370.0,390.7,347.4,352.2,1825836
2020-04-13 05:30:00,355.0,368.9,347.15,350.95,1434385
2020-04-15 05:30:00,353.0,412.95,353.0,395.9,4990393
2020-04-16 05:30:00,393.05,435.45,387.05,426.7,5300471
2020-04-17 05:30:00,438.0,449.0,413.65,420.6,1816629
2020-04-20 05:30:00,423.2,455.0,418.6,442.2,1928444
2020-04-21 05:30:00,434.0,434.0,407.55,421.1,1479123
2020-04-22 05:30:00,420.0,446.35,411.35,439.5,1222948
2020-04-23 05:30:00,440.0,454.15,420.0,423.85,1573809
2020-04-24 05:30:00,415.0,432.75,400.55,420.15,1930567
2020-04-27 05:30:00,433.0,457.85,432.8,451.95,2576292
2020-04-28 05:30:00,460.0,492.75,430.0,477.15,13467202
2020-04-29 05:30:00,480.0,480.0,462.7,473.0,2262910
2020-04-30 05:30:00,477.9,489.85,460.25,469.8,2081814
2020-05-04 05:30:00,452.2,466.35,444.0,462.7,2091702
2020-05-05 05:30:00,465.9,472.1,450.0,452.6,1956312
2020-05-06 05:30:00,453.25,465.55,441.85,459.1,1925929
2020-05-07 05:30:00,461.0,470.0,438.7,442.7,1861769
2020-05-08 05:30:00,450.4,460.15,443.35,450.95,2586205
2020-05-11 05:30:00,459.35,471.35,438.0,441.0,1987234
2020-05-12 05:30:00,441.0,453.55,441.0,446.9,1376291
2020-05-13 05:30:00,459.0,461.6,443.05,450.45,1758308
2020-05-14 05:30:00,452.1,457.0,443.5,448.65,645891
2020-05-15 05:30:00,450.0,454.0,447.0,449.1,479335
2020-05-18 05:30:00,450.0,450.85,407.15,417.75,1933057
2020-05-19 05:30:00,420.0,438.95,418.5,425.85,1749717
2020-05-20 05:30:00,424.4,439.0,411.65,434.95,966310
2020-05-21 05:30:00,438.0,447.1,429.3,440.05,1004745
2020-05-22 05:30:00,435.55,438.0,424.2,429.25,989345
2020-05-26 05:30:00,431.3,443.9,421.35,438.2,987573
2020-05-27 05:30:00,427.35,448.7,413.0,443.7,3414848
2020-05-28 05:30:00,443.75,470.7,431.0,466.1,2271001
2020-05-29 05:30:00,467.4,491.35,451.4,480.35,1521799
2020-06-01 05:30:00,479.05,498.15,475.0,479.45,1211046
2020-06-02 05:30:00,483.0,486.9,456.9,462.45,2789434
2020-06-03 05:30:00,464.0,479.7,450.0,451.7,4002712
2020-06-04 05:30:00,452.3,473.45,452.3,460.8,2965249
2020-06-05 05:30:00,466.2,475.0,461.45,473.35,1005279
2020-06-08 05:30:00,481.25,487.8,474.3,476.8,1400015
2020-06-09 05:30:00,479.0,485.85,464.15,466.3,796727
2020-06-10 05:30:00,469.8,485.2,466.0,482.95,1124587
2020-06-11 05:30:00,484.95,493.9,467.95,476.05,1988750
2020-06-12 05:30:00,461.5,498.0,461.5,488.9,1650423
2020-06-15 05:30:00,489.0,491.3,471.45,475.55,1118019
2020-06-16 05:30:00,482.0,492.0,468.65,485.9,1057720
2020-06-17 05:30:00,480.0,505.95,479.4,490.15,2243431
2020-06-18 05:30:00,489.95,501.0,487.4,491.1,1210365
2020-06-19 05:30:00,491.1,515.0,489.3,503.8,1349689
2020-06-22 05:30:00,504.0,506.05,491.5,495.3,886169
2020-06-23 05:30:00,496.0,506.0,488.25,495.95,813829
2020-06-24 05:30:00,496.2,517.85,496.2,506.65,1190286
2020-06-25 05:30:00,504.0,548.0,499.1,536.0,3492641
2020-06-26 05:30:00,530.0,533.0,511.15,515.55,1417517
2020-06-29 05:30:00,515.55,522.25,496.3,516.3,954941
2020-06-30 05:30:00,524.2,554.0,517.15,542.0,1413320
2020-07-01 05:30:00,537.9,545.0,519.0,536.7,2414676
2020-07-02 05:30:00,544.0,549.3,525.0,545.45,825630
2020-07-03 05:30:00,541.0,562.35,535.6,554.95,931730
2020-07-06 05:30:00,561.0,566.95,555.6,559.95,1124970
2020-07-07 05:30:00,561.0,573.8,554.3,559.3,2324044
2020-07-08 05:30:00,560.0,560.35,545.1,547.1,984162
2020-07-09 05:30:00,547.0,565.3,547.0,560.1,953804
2020-07-10 05:30:00,568.0,576.8,553.0,561.75,1258066
2020-07-13 05:30:00,559.0,565.8,550.5,560.5,684025
2020-07-14 05:30:00,555.0,559.7,545.75,553.9,542930
2020-07-15 05:30:00,556.8,557.75,531.3,534.75,1643351
2020-07-16 05:30:00,537.4,587.0,529.15,580.9,3756264
2020-07-17 05:30:00,578.0,581.85,565.0,574.75,1255257
2020-07-20 05:30:00,580.0,580.65,562.4,569.15,713226
2020-07-21 05:30:00,572.0,577.85,560.15,568.0,604518
2020-07-22 05:30:00,570.8,594.0,548.55,565.9,1627702
2020-07-23 05:30:00,565.0,579.8,561.65,570.1,1053850
2020-07-24 05:30:00,568.3,582.3,557.3,561.45,1082561
2020-07-27 05:30:00,564.2,568.85,549.1,554.05,799614
2020-07-28 05:30:00,557.5,575.2,556.35,567.7,1385470
2020-07-29 05:30:00,569.8,573.0,558.0,562.3,496836
2020-07-30 05:30:00,567.0,577.5,546.0,562.6,1299113
2020-07-31 05:30:00,560.35,565.9,538.1,558.4,1056610
2020-08-03 05:30:00,559.0,560.6,540.1,542.9,443506
2020-08-04 05:30:00,545.0,549.8,530.0,538.6,1292009
2020-08-05 05:30:00,541.9,554.7,536.0,549.6,2879020
2020-08-06 05:30:00,545.0,548.4,536.2,539.35,1111594
2020-08-07 05:30:00,545.0,545.0,530.0,535.9,475324
2020-08-10 05:30:00,541.5,541.5,525.2,528.6,497388
2020-08-11 05:30:00,531.6,537.9,529.1,530.2,564583
2020-08-12 05:30:00,535.0,541.0,528.15,530.85,713101
2020-08-13 05:30:00,532.0,537.1,522.2,529.65,740907
2020-08-14 05:30:00,529.6,537.5,520.3,523.1,583006
2020-08-17 05:30:00,525.0,528.75,514.9,521.15,385587
2020-08-18 05:30:00,521.5,548.75,517.4,543.15,1175395
2020-08-19 05:30:00,548.6,553.85,536.45,540.1,842893
2020-08-20 05:30:00,538.95,543.9,532.05,537.1,331374
2020-08-21 05:30:00,541.0,569.0,535.35,557.35,3171005
2020-08-24 05:30:00,562.0,565.0,543.45,549.45,931876
2020-08-25 05:30:00,580.0,631.25,580.0,619.85,10808367
2020-08-26 05:30:00,620.0,637.95,607.15,618.6,3489202
2020-08-27 05:30:00,620.0,641.75,597.1,603.4,3812464
2020-08-28 05:30:00,609.0,612.05,587.7,598.1,2009912
2020-08-31 05:30:00,608.9,618.2,575.4,589.25,2107134
2020-09-01 05:30:00,587.1,609.0,575.0,603.25,2068412
2020-09-02 05:30:00,609.0,614.0,586.6,594.85,1666821
2020-09-03 05:30:00,590.0,626.0,589.1,615.55,2445132
2020-09-04 05:30:00,604.85,605.5,590.9,593.9,832780
2020-09-07 05:30:00,599.0,599.75,583.55,590.95,1145712
2020-09-08 05:30:00,590.95,604.1,579.0,584.6,1537355
2020-09-09 05:30:00,583.0,598.0,578.25,593.85,800168
2020-09-10 05:30:00,594.45,600.6,580.2,589.15,813471
2020-09-11 05:30:00,590.0,600.9,580.55,597.85,1060801
2020-09-14 05:30:00,605.0,631.9,605.0,620.3,2241135
2020-09-15 05:30:00,621.0,632.8,611.25,618.65,993214
2020-09-16 05:30:00,619.95,629.25,615.0,620.85,1052156
2020-09-17 05:30:00,620.0,626.3,606.5,621.4,1076561
2020-09-18 05:30:00,622.9,628.0,606.15,610.5,858384
2020-09-21 05:30:00,612.9,621.3,592.15,600.2,1027792
2020-09-22 05:30:00,599.0,609.8,588.05,594.9,5420363
2020-09-23 05:30:00,592.95,604.85,582.05,588.3,1600811
2020-09-24 05:30:00,588.0,589.35,567.3,579.8,1213281
2020-09-25 05:30:00,586.3,601.7,571.7,594.25,748956
2020-09-28 05:30:00,603.1,624.4,596.0,619.55,5211564
2020-09-29 05:30:00,622.7,629.65,601.1,605.9,912352
2020-09-30 05:30:00,610.0,617.6,597.4,612.2,1339794
2020-10-01 05:30:00,615.0,622.05,612.35,618.3,647748
2020-10-05 05:30:00,618.0,624.95,600.0,612.3,1457608
2020-10-06 05:30:00,611.1,645.0,610.1,621.4,3121100
2020-10-07 05:30:00,624.6,625.85,607.15,609.6,848567
2020-10-08 05:30:00,610.0,614.9,601.0,606.2,705696
2020-10-09 05:30:00,606.0,608.3,599.05,601.9,597376
2020-10-12 05:30:00,601.8,606.0,579.35,587.95,819211
2020-10-13 05:30:00,586.95,598.65,581.55,585.4,456278
2020-10-14 05:30:00,584.1,598.0,581.6,595.9,1251397
2020-10-15 05:30:00,597.0,607.35,573.1,579.75,1114052
2020-10-16 05:30:00,584.8,592.7,577.4,579.5,425934
2020-10-19 05:30:00,582.35,589.15,581.1,586.6,281483
2020-10-20 05:30:00,586.6,587.85,574.3,579.8,459920
2020-10-21 05:30:00,582.0,593.0,570.1,574.3,563696
2020-10-22 05:30:00,570.0,584.1,566.05,575.35,894289
2020-10-23 05:30:00,578.0,593.9,574.1,591.1,1280598
2020-10-26 05:30:00,590.0,590.3,568.5,575.25,512309
2020-10-27 05:30:00,574.9,584.0,570.1,578.6,1057794
2020-10-28 05:30:00,579.05,593.55,576.7,585.05,1394525
2020-10-29 05:30:00,584.9,595.5,573.05,590.4,996982
2020-10-30 05:30:00,589.0,601.85,583.0,590.55,1027049
2020-11-02 05:30:00,609.95,627.0,588.8,601.5,2465081
2020-11-03 05:30:00,605.0,613.45,601.0,602.65,432844
2020-11-04 05:30:00,604.6,617.35,600.0,613.85,561711
2020-11-05 05:30:00,617.0,630.0,611.1,619.15,2058081
2020-11-06 05:30:00,618.3,624.0,608.0,621.15,697624
2020-11-09 05:30:00,629.05,630.3,615.1,619.2,1035541
2020-11-10 05:30:00,617.75,623.2,609.55,612.55,850121
2020-11-11 05:30:00,612.6,617.1,604.5,612.9,1053440
2020-11-12 05:30:00,613.95,620.0,604.25,608.3,622682
2020-11-13 05:30:00,606.5,608.45,599.0,606.75,394546
2020-11-14 05:30:00,609.7,616.45,606.05,613.2,67263
2020-11-17 05:30:00,612.0,616.2,601.1,613.25,1686818
2020-11-18 05:30:00,612.15,631.15,612.15,619.3,3489685
2020-11-19 05:30:00,620.0,625.5,608.55,612.75,1521740
2020-11-20 05:30:00,613.0,623.0,611.5,618.1,808139
2020-11-23 05:30:00,621.1,647.9,618.0,633.25,2321068
2020-11-24 05:30:00,636.9,646.45,630.45,636.3,1732972
2020-11-25 05:30:00,643.8,646.5,628.4,630.05,1511323
2020-11-26 05:30:00,630.4,639.35,624.95,637.15,417909
2020-11-27 05:30:00,642.0,665.0,632.65,648.65,3440682
2020-12-01 05:30:00,653.4,653.4,632.8,640.1,1804684
2020-12-02 05:30:00,644.9,644.9,629.75,637.75,682736
2020-12-03 05:30:00,642.0,642.0,631.1,634.95,630462
2020-12-04 05:30:00,638.0,639.85,631.0,637.55,863619
2020-12-07 05:30:00,638.0,651.0,634.5,648.7,2478830
2020-12-08 05:30:00,652.05,652.4,630.35,637.1,1505324
2020-12-09 05:30:00,637.1,640.0,634.0,635.65,1144734
2020-12-10 05:30:00,638.05,646.4,632.1,638.55,2232621
2020-12-11 05:30:00,638.5,642.8,621.5,634.1,1699797
2020-12-14 05:30:00,632.0,641.0,626.3,636.9,2248707
2020-12-15 05:30:00,637.5,643.0,633.05,639.95,1449628
2020-12-16 05:30:00,640.85,656.5,635.0,641.4,3485380
2020-12-17 05:30:00,646.1,671.7,644.1,658.5,4399702
2020-12-18 05:30:00,651.0,663.45,644.0,648.25,2997018
2020-12-21 05:30:00,645.0,689.7,636.0,643.15,14312298
2020-12-22 05:30:00,647.9,655.0,623.8,641.85,2414877
2020-12-23 05:30:00,643.0,688.4,642.4,684.0,2950685
2020-12-24 05:30:00,686.0,697.5,672.0,682.3,2212430
2020-12-28 05:30:00,687.9,703.0,681.45,695.5,1737265
2020-12-29 05:30:00,694.55,697.55,679.05,680.3,1426651
2020-12-30 05:30:00,681.95,690.25,673.0,683.85,852229
2020-12-31 05:30:00,680.0,689.65,669.45,675.05,836482
2021-01-01 05:30:00,675.0,692.4,675.0,690.95,885106
2021-01-04 05:30:00,690.75,697.5,680.1,689.3,1100430
2021-01-05 05:30:00,686.0,705.8,679.05,701.5,1547797
2021-01-06 05:30:00,707.55,716.5,697.2,709.4,1966993
2021-01-07 05:30:00,711.0,733.0,697.4,723.85,2059439
2021-01-08 05:30:00,728.0,740.45,718.0,726.85,2251641
2021-01-11 05:30:00,728.0,733.35,710.1,715.25,1540749
2021-01-12 05:30:00,715.25,726.65,707.5,719.9,1014153
2021-01-13 05:30:00,723.0,734.5,708.2,717.2,973568
2021-01-14 05:30:00,716.0,725.9,713.3,720.15,1048756
2021-01-15 05:30:00,716.0,724.25,703.25,707.55,852193
2021-01-18 05:30:00,708.0,708.7,686.4,692.95,1361865
2021-01-19 05:30:00,700.3,722.0,694.2,712.5,1198671
2021-01-20 05:30:00,716.0,726.0,708.55,715.2,1013272
2021-01-21 05:30:00,730.5,751.8,694.65,704.7,2812779
2021-01-22 05:30:00,710.0,716.7,697.0,702.1,968159
2021-01-25 05:30:00,705.5,710.0,680.75,698.05,1431566
2021-01-27 05:30:00,695.5,702.5,673.3,682.1,1477397
2021-01-28 05:30:00,678.0,692.35,670.0,673.65,896352
2021-01-29 05:30:00,677.0,692.75,670.65,683.0,1065233
2021-02-01 05:30:00,689.0,714.15,659.1,704.9,3097002
2021-02-02 05:30:00,709.9,718.65,686.7,696.3,1294020
2021-02-03 05:30:00,698.0,706.7,692.3,700.65,625616
2021-02-04 05:30:00,701.0,724.75,695.5,718.95,960212
2021-02-05 05:30:00,725.0,727.4,705.7,715.8,800166
2021-02-08 05:30:00,718.05,736.9,715.15,728.95,771911
2021-02-09 05:30:00,730.9,750.8,718.35,738.05,2105126
2021-02-10 05:30:00,747.4,798.95,742.75,776.9,7208761
2021-02-11 05:30:00,778.0,831.65,777.0,817.75,3253359
2021-02-12 05:30:00,820.0,825.45,804.0,809.4,1208971
2021-02-15 05:30:00,812.95,847.8,812.95,818.8,1792460
2021-02-16 05:30:00,822.3,859.85,821.75,852.75,3555872
2021-02-17 05:30:00,852.75,885.0,840.15,868.1,4085783
2021-02-18 05:30:00,871.25,879.7,858.35,869.55,1402706
2021-02-19 05:30:00,867.0,870.0,829.05,838.7,1153212
2021-02-22 05:30:00,844.0,871.6,830.0,836.1,2165552
2021-02-23 05:30:00,839.0,861.95,839.0,850.15,2172253
2021-02-24 05:30:00,850.0,935.15,765.15,852.7,552560
2021-02-25 05:30:00,909.4,953.7,885.35,889.05,6832524
2021-02-26 05:30:00,877.0,883.7,855.5,866.1,1978817
2021-03-01 05:30:00,868.0,897.65,858.75,861.1,1695818
2021-03-02 05:30:00,868.9,906.0,868.0,892.95,2406331
2021-03-03 05:30:00,904.0,939.7,901.1,923.95,2547802
2021-03-04 05:30:00,915.25,929.0,905.15,915.55,834588
2021-03-05 05:30:00,911.95,943.1,910.0,917.75,1901448
2021-03-08 05:30:00,924.5,924.5,901.65,915.4,525304
2021-03-09 05:30:00,919.0,930.0,911.25,915.15,730126
2021-03-10 05:30:00,920.0,935.8,916.05,931.45,628524
2021-03-12 05:30:00,944.55,944.55,888.05,892.8,980640
2021-03-15 05:30:00,896.9,897.2,873.7,893.55,1193991
2021-03-16 05:30:00,896.0,907.05,870.05,875.9,735304
2021-03-17 05:30:00,877.9,877.9,851.95,862.4,764999
2021-03-18 05:30:00,865.0,885.4,855.45,862.6,874610
2021-03-19 05:30:00,853.2,867.05,845.2,859.95,2677566
2021-03-22 05:30:00,861.0,864.15,840.9,845.05,650232
2021-03-23 05:30:00,845.1,874.95,831.15,868.8,1129947
2021-03-24 05:30:00,862.0,877.0,839.7,843.0,737348
2021-03-25 05:30:00,843.0,857.95,832.9,846.65,720163
2021-03-26 05:30:00,865.0,884.15,848.4,863.9,1616319
2021-03-30 05:30:00,865.0,884.9,857.5,867.15,575841
2021-03-31 05:30:00,868.1,877.15,854.15,859.45,823746
2021-04-01 05:30:00,862.6,883.9,861.2,880.3,368923
2021-04-05 05:30:00,874.1,877.0,851.45,870.05,748683
2021-04-06 05:30:00,873.5,898.0,862.65,889.3,1355429
2021-04-07 05:30:00,894.95,902.95,884.05,889.9,740186
2021-04-08 05:30:00,891.0,909.75,888.45,893.85,734310
2021-04-09 05:30:00,886.0,903.6,878.15,886.15,516847
2021-04-12 05:30:00,875.0,876.0,838.15,849.3,516691
2021-04-13 05:30:00,853.8,876.5,846.3,874.15,293386
2021-04-15 05:30:00,875.0,881.8,852.25,876.45,426756
2021-04-16 05:30:00,880.8,893.9,869.0,872.0,498017
2021-04-19 05:30:00,864.1,864.1,845.65,858.2,356039
2021-04-20 05:30:00,865.0,883.55,843.0,848.4,395434
2021-04-22 05:30:00,841.6,859.45,834.0,854.35,395862
2021-04-23 05:30:00,859.0,868.0,853.65,863.6,502189
2021-04-26 05:30:00,867.4,891.2,856.6,881.85,728507
2021-04-27 05:30:00,886.2,898.0,880.55,891.15,576252
2021-04-28 05:30:00,891.15,931.65,891.15,919.5,660310
2021-04-29 05:30:00,925.0,929.0,912.45,914.55,253990
2021-04-30 05:30:00,915.4,919.7,890.25,895.9,669783
2021-05-03 05:30:00,898.9,904.35,881.5,895.1,506876
2021-05-04 05:30:00,900.0,921.2,890.3,896.7,310498
2021-05-05 05:30:00,899.15,907.25,875.25,889.55,496453
2021-05-06 05:30:00,892.9,951.3,891.05,931.45,1282486
2021-05-07 05:30:00,935.0,940.25,911.0,916.7,552454
2021-05-10 05:30:00,929.0,929.05,907.75,910.6,444429
2021-05-11 05:30:00,910.6,921.5,904.4,918.05,292451
2021-05-12 05:30:00,919.0,919.0,886.0,891.05,342530
2021-05-14 05:30:00,899.4,900.0,865.45,881.5,297331
2021-05-17 05:30:00,877.1,903.2,876.2,898.1,410173
2021-05-18 05:30:00,896.25,905.55,885.25,890.2,370695
2021-05-19 05:30:00,889.9,889.9,873.0,884.85,485493
2021-05-20 05:30:00,888.0,893.4,875.95,884.35,235681
2021-05-21 05:30:00,889.0,914.4,880.05,902.75,775770
2021-05-24 05:30:00,914.9,914.9,895.75,900.35,372196
2021-05-25 05:30:00,900.0,934.0,899.05,928.15,946774
2021-05-26 05:30:00,937.05,964.8,925.55,934.3,2346723
2021-05-27 05:30:00,934.0,958.75,926.45,943.1,1010666
2021-05-28 05:30:00,943.0,960.0,930.5,935.25,773149
2021-05-31 05:30:00,938.2,948.8,927.95,933.1,569105
2021-06-01 05:30:00,933.1,942.8,928.9,936.45,322947
2021-06-02 05:30:00,935.0,974.5,929.65,949.85,1279278
2021-06-03 05:30:00,953.4,964.95,943.7,959.05,321898
2021-06-04 05:30:00,967.85,986.0,952.1,958.0,1398765
2021-06-07 05:30:00,961.0,1002.5,958.3,983.65,1648479
2021-06-08 05:30:00,994.5,1027.3,975.1,1014.4,2804202
2021-06-09 05:30:00,1039.0,1050.0,981.0,997.45,4508624
2021-06-10 05:30:00,1009.45,1037.65,1009.4,1027.95,1856737
2021-06-11 05:30:00,1030.0,1043.7,1005.55,1016.95,1132051
2021-06-14 05:30:00,1020.85,1020.85,990.05,1000.6,983069
2021-06-15 05:30:00,1010.2,1028.0,1002.0,1024.7,870593
2021-06-16 05:30:00,1024.0,1044.05,1019.0,1022.15,1039422
2021-06-17 05:30:00,1003.1,1039.4,986.65,1005.0,9939255
2021-06-18 05:30:00,1003.0,1017.5,968.5,978.2,1624780
2021-06-21 05:30:00,975.0,1025.6,963.45,1019.4,1331678
2021-06-22 05:30:00,1024.25,1032.5,1002.0,1004.25,811505
2021-06-23 05:30:00,1005.0,1020.0,1000.0,1015.55,569191
2021-06-24 05:30:00,1014.0,1039.8,1010.1,1027.45,1006330
2021-06-25 05:30:00,1029.3,1090.0,1024.05,1084.55,2168927
2021-06-28 05:30:00,1089.0,1093.25,1063.6,1079.6,818595
2021-06-29 05:30:00,1073.0,1097.55,1070.0,1079.5,979696
2021-06-30 05:30:00,1085.0,1085.0,1057.35,1060.4,677206
2021-07-01 05:30:00,1065.9,1074.85,1046.8,1050.6,306853
2021-07-02 05:30:00,1051.0,1058.65,1032.4,1034.85,652655
2021-07-05 05:30:00,1037.5,1042.5,1014.0,1031.25,960748
2021-07-06 05:30:00,1035.0,1056.35,1032.15,1040.15,861383
2021-07-07 05:30:00,1040.15,1059.8,1037.0,1051.45,606530
2021-07-08 05:30:00,1040.8,1067.4,1040.8,1048.75,811327
2021-07-09 05:30:00,1048.75,1079.1,1036.85,1077.25,664999
2021-07-12 05:30:00,1080.0,1082.6,1064.1,1071.9,494502
2021-07-13 05:30:00,1072.0,1083.0,1055.15,1078.85,805173
2021-07-14 05:30:00,1076.5,1079.0,1064.2,1074.45,548232
2021-07-15 05:30:00,1076.0,1091.0,1054.35,1058.75,723207
2021-07-16 05:30:00,1067.9,1090.0,1058.0,1064.5,625948
2021-07-19 05:30:00,1064.5,1071.25,1047.1,1065.0,365562
2021-07-20 05:30:00,1067.75,1068.85,1035.1,1047.75,286154
2021-07-22 05:30:00,1052.5,1077.0,1047.85,1056.0,380240
2021-07-23 05:30:00,1058.0,1120.0,1058.0,1081.5,2125615
2021-07-26 05:30:00,1078.0,1125.0,1063.0,1116.5,888681
2021-07-27 05:30:00,1127.65,1145.0,1115.0,1123.95,1933936
2021-07-28 05:30:00,1127.95,1134.45,1108.8,1114.8,1346064
2021-07-29 05:30:00,1118.0,1148.05,1110.5,1114.85,1014364
2021-07-30 05:30:00,1120.4,1135.0,1106.15,1122.1,768829
2021-08-02 05:30:00,1124.7,1132.7,1099.8,1103.25,899835
2021-08-03 05:30:00,1107.0,1131.0,1087.0,1124.7,895538
2021-08-04 05:30:00,1134.5,1140.0,1104.15,1108.5,1582480
2021-08-05 05:30:00,1110.9,1110.9,1073.6,1081.75,706422
2021-08-06 05:30:00,1084.7,1108.35,1081.0,1088.1,493425
2021-08-09 05:30:00,1089.9,1100.0,1052.45,1067.1,385184
2021-08-10 05:30:00,1076.75,1092.4,1000.0,1028.25,1904182
2021-08-11 05:30:00,1016.55,1081.1,1010.25,1061.95,1802433
2021-08-12 05:30:00,1057.8,1109.0,1032.8,1078.9,1144931
2021-08-13 05:30:00,1085.15,1098.4,1066.45,1078.6,538719
2021-08-16 05:30:00,1080.0,1082.8,1048.25,1054.5,921559
2021-08-17 05:30:00,1046.5,1082.4,1044.0,1077.4,611438
2021-08-18 05:30:00,1077.0,1085.0,1059.3,1066.8,723108
2021-08-20 05:30:00,1050.0,1075.3,1032.05,1036.4,582652
2021-08-23 05:30:00,1040.05,1083.0,1034.3,1041.05,1301351
2021-08-24 05:30:00,1052.0,1056.65,1019.15,1043.8,1859658
2021-08-25 05:30:00,1054.7,1061.6,1017.05,1021.35,593752
2021-08-26 05:30:00,1013.35,1038.7,1013.35,1024.45,490524
2021-08-27 05:30:00,1025.0,1036.1,1009.0,1019.8,617699
2021-08-30 05:30:00,1024.8,1069.95,1016.5,1063.3,855063
2021-08-31 05:30:00,1061.0,1094.0,1059.3,1088.15,913776
2021-09-01 05:30:00,1089.0,1102.55,1070.0,1074.1,705333
2021-09-02 05:30:00,1077.95,1100.75,1043.0,1086.8,1051640
2021-09-03 05:30:00,1092.5,1099.3,1048.0,1066.9,859737
2021-09-06 05:30:00,1070.0,1090.95,1069.05,1071.6,738029
2021-09-07 05:30:00,1076.95,1112.65,1061.35,1090.95,1418888
