datetime,open,high,low,close,volume
2020-01-01 05:30:00,43.5,44.1,43.25,43.5,12283581
2020-01-02 05:30:00,43.75,45.85,43.5,45.4,24677041
2020-01-03 05:30:00,45.4,45.65,44.3,44.6,10859861
2020-01-06 05:30:00,44.25,44.4,42.4,42.65,12626606
2020-01-07 05:30:00,43.1,44.0,42.7,43.4,13321218
2020-01-08 05:30:00,42.5,43.35,42.5,43.2,11199141
2020-01-09 05:30:00,44.0,45.1,43.6,44.9,16119627
2020-01-10 05:30:00,45.1,45.5,44.4,44.75,10521165
2020-01-13 05:30:00,45.0,46.55,44.75,46.05,17317084
2020-01-14 05:30:00,46.4,46.65,45.4,45.95,11899391
2020-01-15 05:30:00,45.85,47.0,45.45,46.85,10739845
2020-01-16 05:30:00,47.45,47.75,46.4,46.55,14205313
2020-01-17 05:30:00,46.6,47.1,46.05,46.2,8424298
2020-01-20 05:30:00,46.3,46.55,44.7,44.95,12234865
2020-01-21 05:30:00,45.0,45.45,43.2,43.4,24323645
2020-01-22 05:30:00,43.65,43.8,43.05,43.45,16583634
2020-01-23 05:30:00,43.45,44.0,43.3,43.45,14871754
2020-01-24 05:30:00,43.5,45.2,43.4,45.0,27348156
2020-01-27 05:30:00,44.7,44.95,43.8,43.95,13164355
2020-01-28 05:30:00,43.95,44.45,43.05,43.3,11310748
2020-01-29 05:30:00,43.7,45.1,43.6,44.55,15586751
2020-01-30 05:30:00,44.65,44.65,43.2,44.05,14992301
2020-01-31 05:30:00,44.45,44.6,42.05,42.75,14087306
2020-02-01 05:30:00,42.7,43.55,39.2,40.05,17232262
2020-02-03 05:30:00,39.9,40.55,38.8,39.45,20417630
2020-02-04 05:30:00,39.8,40.2,39.35,39.95,13225776
2020-02-05 05:30:00,40.0,40.5,39.25,39.6,23954561
2020-02-06 05:30:00,39.95,40.2,39.45,39.55,16156110
2020-02-07 05:30:00,39.75,40.3,39.2,39.8,16682125
2020-02-10 05:30:00,39.75,39.8,37.9,38.25,21400298
2020-02-11 05:30:00,38.6,39.1,38.25,38.55,20338186
2020-02-12 05:30:00,37.8,38.2,35.8,36.35,51223154
2020-02-13 05:30:00,36.85,37.35,36.25,37.05,20159277
2020-02-14 05:30:00,37.2,37.4,36.0,36.2,20464164
2020-02-17 05:30:00,36.2,36.4,34.75,34.85,21604096
2020-02-18 05:30:00,34.3,34.9,33.4,34.7,34528421
2020-02-19 05:30:00,34.7,35.6,34.2,35.4,18802594
2020-02-20 05:30:00,35.4,35.9,34.9,35.1,15578115
2020-02-24 05:30:00,34.3,34.75,33.7,33.9,13344620
2020-02-25 05:30:00,33.75,34.5,33.65,33.9,13587843
2020-02-26 05:30:00,33.6,33.95,33.1,33.25,13462112
